SKUPINA;Kat_st;Jama-ime;Jama-tip;Ndm_vis;Globina;Dolžina;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000;T (povpr.letna) 81-2000;Količina padavin (kor.povpr.letna) 81-2000;Chol_STEVILO;Chol1_mm;Chol2_mm;Chol3_mm;Chol4_mm;Chol5_mm;Chol6_mm;Cara_STEVILO;Cara1_mm;Cara2_mm;Cara3_mm;Cara4_mm;Cara5_mm;;;;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000
A1;1;Zlatica;4,3 - jama z občasnim tokom;1525;10;95;2-4;2600-3200;2-4;2600-3200;2;2,5;2,88;;;;;2;5,1;6,2;;;;;;;izpolniva V in B;izpolniva V in B
A1;3;Kevderca na Lubniku;5,2 - vodoravna jama;780;37;360;6-8;1800-2000;6-8;1600-1800;1;3,05;;;;;;3;6,6;5,75;3,5;;;;;;izpolniva V in B;izpolniva V in B
A1;4;Lubniška jama;5,2 - vodoravna jama;780;8;60;6-8;1800-2000;6-8;1600-1800;1;3,05;;;;;;2;6,6;5,75;;;;;;;izpolniva V in B;izpolniva V in B
A1;5;Migutovo brezno;5,2 - vodoravna jama;451;28;112;8-10;1600-1800;8-10;1600-1800;1;3,05;;;;;;1;5,55;;;;;;;;izpolniva V in B;izpolniva V in B
A1;6;Marijino brezno;4,2 - jama s stalnim tokom;423;58;450;8-10;1600-1800;8-10;1600-1800;1;3,05;;;;;;1;5,55;;;;;;;;izpolniva V in B;izpolniva V in B
A1;10;Košelevka;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;642;42;130;8-10;1800-2000;8-10;1600-1800;2;1,58;1,77;;;;;2;6,5;7,5;;;;;;;izpolniva V in B;izpolniva V in B
A1;12;Željnske Jame;2,1 - jama stalni ponor;475;12;1600;8-10;1500-1600;8-10;1500-1600;2;1,76;2,97;;;;;0;;;;;;;;;izpolniva V in B;izpolniva V in B
A1;17;Podpeška jama;4,2 - jama s stalnim tokom;435;20;4390;8-10;1400-1500;8-10;1500-1600;0;;;;;;;1;7,05;;;;;;;;izpolniva V in B;izpolniva V in B
A1;22;Zakrita jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;650;12;47;8-10;1800-2000;8-10;1600-1800;1;1,77;;;;;;1;7,5;;;;;;;;itd;itd
A1;25;Kompoljska jama;1,3 - jama občasni izvir ob stalnem toku;425;15;525;8-10;1400-1500;8-10;1400-1500;0;;;;;;;1;7,05;;;;;;;;;
A1;26;Jelenska jama;1,1 - jama stalni izvir;362;0;40;8-10;1600-1800;8-10;1500-1600;2;2,45;2,97;;;;;2;5,55;7,5;;;;;;;;
A1;27;Županova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;468;70;710;8-10;1400-1500;8-10;1500-1600;1;7;;;;;;0;;;;;;;;;;
A1;28;Logarček;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;498;120;4888;8-10;1800-2000;8-10;1600-1800;1;1,58;;;;;;3;5,5;5,8;7,5;;;;;;;
A1;32;Tonikovo brezno;5,1 - spodmol, kevderc;399;22;51;8-10;1600-1800;8-10;1600-1800;0;;;;;;;1;7,5;;;;;;;;;
A1;33;Ledenica pod Taborom;6,2 - jama z občasnim ledom;442;26;102;8-10;1400-1500;8-10;1500-1600;2;2,03;7;;;;;0;;;;;;;;;;
A1;35;Babja luknja;1,1 - jama stalni izvir;330;18;310;8-10;1500-1600;8-10;1500-1600;1;2,93;;;;;;0;;;;;;;;;;
A1;40;Lohančevo brezno;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;643;36;64;8-10;1800-2000;8-10;1600-1800;0;;;;;;;1;7,5;;;;;;;;;
A1;41;Turkova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;640;80;900;8-10;1800-2000;8-10;1600-1800;2;;;;;;;2;5,3;7,5;;;;;;;;
A1;44;Jama v Bukovju;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;444;15;29;8-10;1500-1600;8-10;1500-1600;1;2,97;;;;;;3;5,55;6;6,6;;;;;;;
A1;45;Tkavčja jama;5,2 - vodoravna jama;435;9;110;8-10;1400-1500;8-10;1400-1500;1;1,76;;;;;;1;7,05;;;;;;;;;
A1;46;Ihanšica;5,2 - vodoravna jama;416;7;56;8-10;1300-1400;8-10;1300-1400;2;2,97;2,5;;;;;1;5,2;;;;;;;;;
A1;52;Mačkovica;5,2 - vodoravna jama;479;45;807;8-10;1800-2000;8-10;1600-1800;3;1,58;1,86;2,97;;;;3;5,50;5,80;7,50;;;;;;;
A1;53;Skedenca nad Rajnturnom;5,2 - vodoravna jama;535;8;109;8-10;1400-1500;8-10;1500-1600;1;7,00;;;;;;0;;;;;;;;;;
A1;54;Potiskavška jama;1,3 - jama občasni izvir ob stalnem toku;420;10;340;8-10;1500-1600;8-10;1400-1500;0;;;;;;;1;5,45;;;;;;;;;
A1;65;Križna jama;4,2 - jama s stalnim tokom;629;32;8273;6-8;1600-1800;6-8;1600-1800;3;1,84;2,45;2,97;;;;2;5,75;7,25;;;;;;;;
A1;67;Trhlovca;5,2 - vodoravna jama;432;33;186;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;;
A1;69;Matjaževa jama;5,2 - vodoravna jama;398;11;30;8-10;1400-1500;8-10;1400-1500;1;2,88;;;;;;0;;;;;;;;;;
A1;70;Bidovčeva luknja;5,5 - stopnjasto brezno, poševno brezno;575;21;21;8-10;1600-1800;8-10;1500-1600;1;3,39;;;;;;2;5,70;5,85;;;;;;;;
A1;72;Vratnica;2,1 - jama stalni ponor;538;15;658;8-10;1500-1600;8-10;1500-1600;1;1,76;;;;;;1;6,05;;;;;;;;;
A1;74;Krška jama;1,3 - jama občasni izvir ob stalnem toku;280;44;820;8-10;1300-1400;8-10;1300-1400;2;1,76;2,97;;;;;0;;;;;;;;;;
A1;75;Velika pasica;5,2 - vodoravna jama;700;20;126;6-8;1600-1800;8-10;1500-1600;1;2,97;;;;;;4;5,55;5,60;6,75;7,50;;;;;;
A1;76;Mala pasica;5,2 - vodoravna jama;695;10;68;6-8;1600-1800;8-10;1500-1600;1;2,97;;;;;;2;5,55;6,75;;;;;;;;
A1;77;Ledenica pri Planinci;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;478;70;125;8-10;1500-1600;8-10;1600-1800;1;2,97;;;;;;3;5,55;5,60;6,75;;;;;;;
A1;79;Mrzla jama pri Ložu;1,2 - jama občasni izvir, bruhalnik;601;5;143;6-8;1600-1800;8-10;1500-1600;2;1,84;2,45;;;;;1;7,25;;;;;;;;;
A1;82;Velika jama za Široko mlako;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;607;14;68;8-10;1600-1800;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
A1;83;Mala jama za Široko mlako;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;610;36;54;8-10;1600-1800;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
A1;86;Gradišnica;"4,4 - brezno s stalnim tokom";578;250;1170;8-10;1800-2000;8-10;1800-2000;1;2,97 ;;;;;;0;;;;;;;;;;
A1;89;Mehrerschloch;5,2 - vodoravna jama;520;12;110;8-10;1600-1800;8-10;1500-1600;1;1,76;;;;;;0;;;;;;;;;;
A1;91;Lukova jama pri Zdihovem;5,2 - vodoravna jama;526;12;174;8-10;1600-1800;8-10;1600-1800;4;1,76;2,45;7,00;5,00;;;1;6;;;;;;;;;
A1;94;"Dolga jama pri Koblarjih";"5,2 - vodoravna jama";638;17;200;6-8;1500-1600;8-10;1500-1600;3;1,76;7,00;5,00;;;;0;;;;;;;;;;
A1;95;Podtaborska jama    ;"5,2 - vodoravna jama";437;4;49;8-10;1500-1600;8-10;1400-1500;0;;;;;;;1;7,05;;;;;;;;;
A1;96;Tatrca;5,2 - vodoravna jama;440;12;109;8-10;1500-1600;8-10;1400-1500;1;1,76;;;;;;1;7,05;;;;;;;;;
A1;100;Jama pod Turkovo ogrado;5,2 - vodoravna jama;477;23;100;8-10;1800-2000;8-10;1600-1800;0;;;;;;;1;7,50;;;;;;;;;
A1;104;Velika jama nad Trebnjem;5,2 - vodoravna jama;430;16;118;8-10;1300-1400;8-10;1300-1400;2;1,76;7,00;;;;;0;;;;;;;;;;
A1;107;Jamovka;5,2 - vodoravna jama;710;10;78;6-8;1800-2000;6-8;1600-1800;1;1,58;;;;;;2;7,50;6,00;;;;;;;;
A1;108;Veliki kevder v Bukovju;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;502;38;330;8-10;1400-1500;8-10;1500-1600;2;1,76;7,00;;;;;0;;;;;;;;;;
A1;111;Černičkova jama;4,6 - brezno vodokaz;200;21;105;8-10;1300-1400;10-12;1300-1400;1;1,76;;;;;;0;;;;;;;;;;
A1;120;Jama v Kofcah;4,2 - jama s stalnim tokom;1535;102;1090;2-4;1800-2000;4-6;1800-2000;1;2,97;;;;;;0;;;;;;;;;;
A1;121;Velika Veternica;6,1 - jama s stalnim ledom;1602;30;70;2-4;1800-2000;4-6;2000-2600;1;2,97;;;;;;0;;;;;;;;;;
A2;124;Brezno ob Lovretovi poti;5,2-vodoravna jama;524;12;61;8-10;2000-2600;8-10;2000-2600;0;;;;;;;1;7,5;;;;;;;;;
A2;125;Tomaženčkov brezen;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;550;8;38;8-10;2000-2600;8-10;2000-2600;0;;;;;;;1;7,5;;;;;;;;;
A2;129;Jama pod Babjim zobom;5,2-Vodoravna jama;992;50;359;6-8;2000-2600;6-8;1800-2000;1;2,5;;;;;;1;5,7;;;;;;;;;
A2;130;Knežja jama pri Mali gori;5,2- vodoravna jama;620;18;72;8-10;1500-1600;8-10;1400-1500;2;1,76;5;;;;;0;;;;;;;;;;
A2;132;Mežnarjevo brezno;5,3- brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/ več etažna jama;650;13;26;6-8;1600-1800;8-10;1500-1600;2;1,84;2,45;;;;;0;;;;;;;;;;
A2;141;Jama treh bratov pri Kočevju;5,2- vodoravna jama;900;45;180;6-8;1600-1800;6-8;1600-1800;4;1,76;2,97;5,5;7;;;1;6;;;;;;;;;
A2;142;Ledena jama v Fridrihštanjskem gozdu;6,1- jama s stalnim ledom;845;105;180;6-8;1600-1800;6-8;1600-1800;2;5,5;7;;;;;0;;;;;;;;;;
A2;143;Eleonorina jama;5,2- vodoravna jama;955;25;130;6-8;1800-2000;6-8;1600-1800;4;1,76;2,97;5;7;;;1;6;;;;;;;;;
A2;147;Jama Koliševka;5,3- breznoz jamo, jama z breznom, poševna jama, jama z etažami in brezni/ več etažna jama;565;29;246;8-10;1800-2000;8-10;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
A2;151;Štupnikova lisična;5,1- spodmol, kevderc;315;2;20;8-10;1300-1400;8-10;1400-1500;1;1,76;;;;;;0;;;;;;;;;;
A2;157;Mohoričev hram;5,3- brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/ več etažna jama;683;27;64;8-10;2000-2600;8-10;2000-2600;0;;;;;;;1;7,5;;;;;;;;;
A2;158;Jama pod Vrhgriškim vrhom;5,3- brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/ več etažna jama;660;12;47;8-10;2000-2600;8-10;2000-2600;0;;;;;;;2;5,55;6;;;;;;;;
A2;163;Koprivnica;5,3- brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/ več etažna jama;343;19;100;8-10;1300-1400;8-10;1300-1400;2;1,76;7;;;;;0;;;;;;;;;;
A2;175;Brezno nad Retovjem;5,3- brezno z jamo z breznom, poševna jama, jama z etažami in brezni/ več etažna jama;390;25;50;8-10;1600-1800;8-10;1600-1800;1;1,77;;;;;;1;7,5;;;;;;;;;
A2;190;Jaklovec;1,1-jama stalni izvir;405;5;20;8-10;1500-1600;8-10;1500-1600;1;2,97;;;;;;1;5,55;;;;;;;;;
A2;191;Srednji kevderc v Bukovju;5,3- brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/ več etažna jama;510;9;60;8-10;1400-1500;8-10;1500-1600;1;7;;;;;;0;;;;;;;;;;
A2;217;Zidanica na Rašici;5,2- vodoravna jama;490;0;25;8-10;1400-1500;8-10;1400-1500;1;2,97;;;;;;0;;;;;;;;;;
A2;218;Markonova jama;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;480;13;27;8-10;1400-1500;8-10;1400-1500;0;;;;;;;1;5,95;;;;;;;;;
A2;234;Turkovo brezno;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;595;92;918;6-8;1600-1800;8-10;1600-1800;1;2,88;;;;;;1;5,70;;;;;;;;;
A2;236;Veliki zjot;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;406;22;76;8-10;1400-1500;8-10;1300-1400;2;1,76;7,00;;;;;0;;;;;;;;;;
A2;240;Štinetova jama;5,2 - vodoravna jama;395;5;52;8-10;1600-1800;8-10;1500-1600;1;3,05;;;;;;2;5,30;5,55;;;;;;;;
A2;254;Kurent;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;700;14;21;6-8;1800-2000;6-8;1600-1800;1;1,58;;;;;;1;7,50;;;;;;;;;
A2;256;Guštinov kevdrc;5,1 - spodmol, kevderc;627;8;25;8-10;1600-1800;8-10;1600-1800;2;1,58;1,86;;;;;1;7,50;;;;;;;;;
A2;259;Najdena jama;4,2 - jama s stalnim tokom;517;121;5216;8-10;1800-2000;8-10;1600-1800;1;1,58;;;;;;2;5,80;7,50;;;;;;;;
A2;260;Jama v Ivljah;5,1 - spodmol, kevderc;920;3;9;6-8;2000-2600;6-8;1800-2000;0;;;;;;;1;5,10;;;;;;;;;
A2;261;Pesjakov buden;1,2 - jama občasni izvir, bruhalnik;740;8;30;6-8;2000-2600;6-8;1800-2000;3;2,50;2,88;3,01;;;;2;5,10;5,60;;;;;;;;
A2;262;Divja jama v Zamelšah;1,2 - jama občasni izvir, bruhalnik;395;18;80;8-10;1600-1800;8-10;1500-1600;1;2,97;;;;;;1;6,60;;;;;;;;;
A2;265;Brezno v Lozi;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;575;44;50;8-10;1800-2000;8-10;1600-1800;2;1,90;2,97;;;;;0;;;;;;;;;;
A2;266;Tomažinov brezen;5,2 - vodoravna jama;547;21;266;8-10;2000-2600;8-10;2000-2600;1;1,77;;;;;;1;7,50;;;;;;;;;
A2;267;Jurčkov brezen;5,2 - vodoravna jama;567;15;221;8-10;2000-2600;8-10;2000-2600;0;;;;;;;1;7,50;;;;;;;;;
A2;271;Ovčarski spodmol v Krkurjevcu;5,2 - vodoravna jama;560;8;89;8-10;1800-2000;8-10;1600-1800;2;1,90;2,97;;;;;0;;;;;;;;;;
A2;289;Povlačeva jama;5,2 - vodoravna jama;588;9;24;8-10;1800-2000;8-10;1800-2000;1;1,58;;;;;;0;;;;;;;;;;
A2;291;Šimenkova jama;4,5 - brezno z občasnim tokom;425;104;920;8-10;1300-1400;8-10;1300-1400;1;7,00;;;;;;0;;;;;;;;;;
A2;311;Lipiška jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;397;250;1400;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;;
A2;325;Benkotova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;528;5;20;8-10;1500-1600;8-10;1500-1600;1;2,97;;;;;;1;6,75;;;;;;;;;
A3;336;Riharjev kogel;4,2- jama s stalnim tokom;500;3;40;8-10;1600-1800;8-10;1600-1800;1;2,97;;;;;;1;6,60;;;;;;;;;
A3;353;Brezno na Skedenici;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;706;45;180;6-8;1600-1800;8-10;1600-1800;1;2,97;;;;;;1;5,55;;;;;;;;;
A3;358;Jama pri Riži;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;849;45;100;6-8;1600-1800;6-8;1600-1800;1;2,97;;;;;;3;5,55;5,60;6,75;;;;;;;
A3;362;Godobolska jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;629;48;25;8-10;1800-2000;8-10;1800-2000;1;1,58;;;;;;1;7,50;;;;;;;;;
A3;363;Dolga jama;5,2 - vodoravna jama;340;9;46;8-10;1300-1400;10-12;1300-1400;2;2,50;2,97;;;;;1;5,20;;;;;;;;;
A3;365;Jelenca jama;5,1 - spodmol, kevderc;449;4;34;8-10;1500-1600;8-10;1500-1600;1;2,97;;;;;;0;;;;;;;;;;
A3;366;Jama 1 v Jurcetovih Percah;5,1 - spodmol, kevderc;450;5;10;8-10;1500-1600;8-10;1500-1600;1;2,93;;;;;;1;6,60;;;;;;;;;
A3;368;Jama na prevalu pod planino Viševnik;5,6 - poševno in stopnjasto brezno;1675;17;17;2-4;2600-3200;2-4;2600-3200;1;2,50;;;;;;1;5,1;;;;;;;;;
A3;369;Tular;1,1 - jama stalni izvir;357;7;55;8-10;1500-1600;8-10;1400-1500;0;;;;;;;1;5,30;;;;;;;;;
A3;371;Raja peč;1,3 - jama občasni izvir ob stalnem toku;254;5;170;8-10;1200-1300;10-12;1100-1200;1;2,10;;;;;;1;5,00;;;;;;;;;
A3;374;Jama na Grivi;5,1 - spodmol, kevderc;1670;2;10;2-4;2600-3200;2-4;2600-3200;2;2,50;2,88;;;;;1;5,1;;;;;;;;;
A3;378;Gabrovška jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;685;28;92;6-8;1800-2000;8-10;1600-1800;1;1,58;;;;;;1;7,50;;;;;;;;;
A3;379;Jama v Strašilu;4,3 - jama z občasnim tokom;969;68;245;4-6;2000-2600;6-8;2000-2600;1;2,50;;;;;;1;5,80;;;;;;;;;
A3;380;Jama pod Studorjem;5,3- brezno z jamo, jama z breznom,poševna jama,jama z etažami in brezni/ več etažna jama;730;20;50;6-8;2000-2600;6-8;2000-2600;0;;;;;;;1;5,80;;;;;;;;;
A3;383;Jama pri gozdarski koči na Opatovi gori;5,1 - spodmol, kevderc;616;5;27;8-10;1400-1500;8-10;1200-1300;1;1,99;;;;;;1;5,55;;;;;;;;;
A3;385;Stričanica;5,1- spodmol, kevderc;791;34;73;8-10;1500-1600;8-10;1200-1300;1;1,99;;;;;;1;5,55;;;;;;;;;
A3;386;Gipsova jama;5,2 - vodoravna jama;431;6;43;8-10;1600-1800;8-10;1600-1800;2;3,05;3,05;;;;;1;5,5;;;;;;;;;
A3;389;Lisičja jama v Arto grabnu;5,1- spodmol, kevderc;214;3;26;8-10;1200-1300;10-12;1200-1300;1;2,10;;;;;;1;5,00;;;;;;;;;
A3;390;Ajdovska peč pri Studencu;1,3 - jama občasni izvir ob stalnem toku;285;7;80;8-10;1200-1300;10-12;1200-1300;1;2,10;;;;;;2;5,00;5,75;;;;;;;;
A3;392;Melinca jama;5,3- brezno z jamo, jama z breznom,poševna jama,jama z etažami in brezni/ več etažna jama;615;39;131;8-10;1500-1600;8-10;1500-1600;1;2,97;;;;;;0;;;;;;;;;;
A3;395;Častitljiva luknja;5,2- vodoravna jama;600;3;25;6-8;1800-2000;6-8;1600-1800;2;2,50;2,88;;;;;4;5,10;5,60;5,70;5,85;;;;;;
A3;397;Jama pri Lipniški skali;5,1- spodmol, kevderc;465;6;31;8-10;1600-1800;8-10;1500-1600;1;3,21;;;;;;0;;;;;;;;;;
A3;399;Pečuje;5,1- spodmol, kevderc;495;2;27;8-10;1300-1400;8-10;1300-1400;1;1,76;;;;;;0;;;;;;;;;;
A3;400;Ledena jama pri Ograji;6,2- jama z občasnim ledom;503;49;119;8-10;1600-1800;8-10;1600-1800;1;5,00;;;;;;0;;;;;;;;;;
A3;413;Huda luknja pri Gornjem doliču;1,1- jama stalni izvir;508;119;2862;8-10;1300-1400;8-10;1200-1300;1;2,20;;;;;;0;;;;;;;;;;
A3;416;Malo Brezarjevo brezno;5,6- poševno in stopnjasto brezno;354;27;27;8-10;1500-1600;8-10;1400-1500;1;2,97;;;;;;0;;;;;;;;;;
A3;417;Ajdovska jama pri Nemški vasi;5,1- spodmol, kevderc;230;5;62;8-10;1200-1300;10-12;1200-1300;1;2,10;;;;;;0;;;;;;;;;;
A3;426;Jama ob cesti Jama- Lešče;5,3- brezno z jamo, jama z breznom,poševna jama, jama z etažami in brezni/več etažna jama;248;20;68;8-10;1300-1400;8-10;1300-1400;2;1,76;5,00;;;;;0;;;;;;;;;;
A3;439;Štavka;5,3- brezno z jamo, jama z breznom,poševna jama, jama z etažami in brezni, več etažna jama;405;13;58;8-10;1400-1500;8-10;1400-1500;1;1,76;;;;;;0;;;;;;;;;;
A3;465;Rački pekel;5,2- vodoravna jama;590;10;38;6-8;1600-1800;6-8;1600-1800;1;2,97;;;;;;0;;;;;;;;;;
A3;466;Erjavčeva jama;"4,2- jama s stalnim tokom;5,3- brezno z jamo, jama z breznom,poševna jama, jama z etažami in brezni/večetažna jama";720;91;599;6-8;1600-1800;6-8;1600-1800;1;2,97;;;;;;1;6,50;;;;;;;;;
A3;467;Trbiška zijalka;5,2- vodoravna jama;600;99;1112;6-8;1600-1800;6-8;1600-1800;1;2,97;;;;;;4;5,50;6,50;9,00;10,00;;;;;;
A3;468;Vračka zijalka;5,2- vodoravna jama;589;20;81;8-10;1400-1500;8-10;1400-1500;1;2,97;;;;;;4;4,50;6,50;8,50;9,25;;;;;;
